,State,Prediction_accuracy
0,Abia,0.8868168606806127
1,Adamawa,0.8450129272946364
2,Akwa Ibom,0.8516015841212985
3,Anambra,0.9064594900985048
4,Bauchi,0.8057382422944711
5,Bayelsa,0.8221699315685922
6,Benue,0.6931923248944106
7,Borno,0.9208987599717294
8,Cross River,0.43770171292141324
9,Delta,0.8455376477612441
10,Ebonyi,0.9165798654059875
11,Edo,0.9050782910977205
12,Ekiti,0.6964309543917682
13,Enugu,0.8833993684352118
14,FCT,0.8788776464477207
15,Gombe,0.8461899015669118
16,Imo,0.8697024120064476
17,Jigawa,0.5038400381688127
18,Kaduna,0.8903151117605744
19,Kano,0.8597822198293088
20,Katsina,0.8595086812871584
21,Kebbi,0.7839510556541465
22,Kogi,0.7128054045306371
23,Kwara,0.746597199061106
24,Lagos,0.9123726012186042
25,Nasarawa,0.8671382476392145
26,Niger,0.8578025659863111
27,Ogun,0.9197642037354813
28,Ondo,0.8786923249461047
29,Osun,0.7704450244354759
30,Oyo,0.8773888883080471
31,Plateau,0.7226432348020566
32,Rivers,0.9059141537434888
33,Sokoto,0.7262421639774999
34,Taraba,0.5176467649882424
35,Yobe,0.8511886914573349
36,Zamfara,1.0
